Tm,EXP,TO,NY/A,Y/A,Year,Pass_QB_def_norm,Rush_def_norm
ARI,-110.14,17,6.3,4.6,2024,0.2813918663394098,0.5601554918567888
TB,-87.52,18,6.1,4.3,2024,-0.21886034048621283,-0.3832642839020147
LAR,-86.46,20,6.5,4.6,2024,0.7816440731650325,0.5601554918567888
WSH,-147.39,17,6.0,4.8,2024,-0.46898644389902305,1.1891020090293254
NO,-107.32,17,6.4,4.9,2024,0.5315179697522223,1.5035752676155951
NYJ,-93.24,17,5.8,4.1,2024,-0.9692386507246458,-1.0122108010745514
NYG,-97.6,15,6.5,4.6,2024,0.7816440731650325,0.5601554918567888
NE,-133.48,12,6.4,4.4,2024,0.5315179697522223,-0.06879102531574502
ATL,-85.85,18,6.3,4.5,2024,0.2813918663394098,0.2456822332705219
IND,-73.33,25,6.7,4.2,2024,1.2818962799906553,-0.6977375424882817
CIN,-101.94,25,6.2,4.4,2024,0.03126576292659961,-0.06879102531574502
LV,-69.33,13,6.1,4.4,2024,-0.21886034048621283,-0.06879102531574502
CLE,-61.95,12,6.5,4.5,2024,0.7816440731650325,0.2456822332705219
JAX,-165.95,9,7.1,4.4,2024,2.2824006936418986,-0.06879102531574502
SF,-88.77,17,5.9,4.4,2024,-0.7191125473118333,-0.06879102531574502
TEN,-90.11,18,6.0,4.5,2024,-0.46898644389902305,0.2456822332705219
DAL,-117.02,22,6.6,4.8,2024,1.0317701765778426,1.1891020090293254
CAR,-220.48,17,6.8,5.2,2024,1.5320223834034654,2.4469950433743985
