Player,Tm,FantPos,Age,G,GS,Cmp,Att_pass,Yds_pass,TD_pass,Int_pass,Att_rush,Yds_rush,Y/A,TD_rush,Tgt,Rec,Yds_rec,Y/R,TD_rec,Fmb,FL,TD_total,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Year,Team_Yds,Team_Tgt,Team_Att_rush,Team_Yds_rush
Courtland Sutton,DEN,WR,28,16,14,0,0,0,0,0,0,0,0.0,0,90,59,772,13.08,10,3,3,10,0,0,131,190.2,196.2,160.7,2,28,74,2023,5376,477,451,1810
Terry McLaurin,WAS,WR,28,17,17,0,0,0,0,0,0,0,0.0,0,132,79,1002,12.68,4,0,0,5,0,0,130,209.2,212.2,169.7,1,29,75,2023,5766,601,358,1592
Zay Flowers,BAL,WR,23,16,16,0,0,0,0,0,8,56,7.0,1,108,77,858,11.14,5,0,0,6,1,0,129,206.4,209.4,167.9,0,30,0,2023,6542,473,540,2661
Adam Thielen,CAR,WR,33,17,17,0,0,0,0,0,1,6,6.0,0,137,103,1014,9.84,4,2,0,4,1,0,128,231.0,234.0,179.5,0,31,0,2023,5018,534,444,1780
Jaylen Waddle,MIA,WR,25,14,14,0,0,0,0,0,3,12,4.0,0,104,72,1014,14.08,4,0,0,4,0,0,127,198.6,201.6,162.6,0,32,0,2023,6990,542,454,2292
Chris Godwin,TB,WR,27,17,17,0,1,0,0,0,4,38,9.5,1,130,83,1024,12.34,2,0,0,3,1,0,126,209.2,212.2,167.7,0,33,0,2023,5553,550,439,1509
Tyler Lockett,SEA,WR,31,17,17,0,0,0,0,0,0,0,0.0,0,122,79,894,11.32,5,0,0,5,2,0,123,202.4,205.4,162.9,0,34,0,2023,5747,547,382,1580
Brandin Cooks,DAL,WR,30,16,15,0,0,0,0,0,5,35,7.0,0,81,54,657,12.17,8,1,0,8,1,0,119,173.2,176.2,146.2,0,35,0,2023,6580,605,468,1920
Tank Dell,HOU,WR,24,11,8,0,0,0,0,0,11,51,4.64,0,75,47,709,15.09,7,1,0,7,0,0,118,165.0,168.0,141.5,0,37,0,2023,6225,554,438,1647
Garrett Wilson,NYJ,WR,23,17,17,0,1,0,0,0,4,0,0.0,0,168,95,1042,10.97,3,2,2,3,0,0,118,213.2,218.2,165.7,0,36,0,2023,4747,519,311,1392
Gabriel Davis,BUF,WR,24,17,17,0,0,0,0,0,1,-2,-2.0,0,81,45,746,16.58,7,1,1,7,1,0,116,161.4,165.4,138.9,0,38,0,2023,6518,545,512,2212
Romeo Doubs,GB,WR,23,17,16,0,0,0,0,0,0,0,0.0,0,96,59,674,11.42,8,1,0,8,0,0,115,174.4,177.4,144.9,0,39,0,2023,6104,561,439,1894
Rashid Shaheed,NO,WR,25,15,8,0,0,0,0,0,7,37,5.29,0,75,46,719,15.63,5,1,1,6,0,0,110,155.6,159.6,132.6,0,40,0,2023,5897,573,459,1672
Cooper Kupp,LAR,WR,30,12,12,0,0,0,0,0,1,-3,-3.0,0,95,59,737,12.49,5,0,0,5,1,0,105,164.4,167.4,134.9,0,41,0,2023,6312,540,454,2012
