Player,Tm,FantPos,Age,G,GS,Cmp,Att_pass,Yds_pass,TD_pass,Int_pass,Att_rush,Yds_rush,Y/A,TD_rush,Tgt,Rec,Yds_rec,Y/R,TD_rec,Fmb,FL,TD_total,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Year,Team_Yds,Team_Tgt,Team_Att_rush,Team_Yds_rush
Christian McCaffrey,SF,RB,28,4,4,0,0,0,0,0,50,202,4.04,0,19,15,146,9.73,0,1,1,0,0,0,33,47.8,54.8,40.3,0,73,0,2024,6587,513,457,2163
Chris Brooks,GB,RB,24,15,0,0,0,0,0,0,36,183,5.08,1,13,11,69,6.27,0,0,0,1,0,0,31,42.2,45.2,36.7,0,74,0,2024,6435,463,526,2496
Chris Rodriguez,WAS,RB,24,9,0,0,0,0,0,0,35,173,4.94,2,1,1,12,12.0,0,0,0,2,0,0,31,31.5,34.5,31.0,0,75,0,2024,6551,503,526,2619
Hassan Haskins,LAC,RB,25,17,0,0,0,0,0,0,34,89,2.62,2,3,3,49,16.33,1,1,1,3,0,0,30,32.8,33.8,31.3,0,76,0,2024,5780,486,462,1882
Kimani Vidal,LAC,RB,23,10,0,0,0,0,0,0,43,155,3.6,0,9,5,62,12.4,1,1,0,1,0,0,28,32.7,35.7,30.2,0,78,0,2024,5780,486,462,1882
Jamaal Williams,NO,RB,29,14,1,0,0,0,0,0,48,164,3.42,1,11,9,57,6.33,0,0,0,1,0,0,28,37.1,40.1,32.6,0,77,0,2024,5669,482,442,1939
Blake Corum,LAR,RB,24,17,1,0,0,0,0,0,58,207,3.57,0,8,7,58,8.29,0,0,0,0,0,0,27,33.5,36.5,30.0,0,81,0,2024,5861,541,450,1765
D'Onta Foreman,CLE,RB,28,11,3,0,0,0,0,0,71,232,3.27,0,8,6,54,9.0,0,2,1,0,0,0,27,32.6,36.6,29.6,0,80,0,2024,5487,579,391,1608
Patrick Taylor,SF,RB,26,13,1,0,0,0,0,0,39,183,4.69,1,11,3,25,8.33,0,0,0,1,0,0,27,29.8,32.8,28.3,0,79,0,2024,6587,513,457,2163
Cordarrelle Patterson,PIT,RB,33,13,1,0,0,0,0,0,32,135,4.22,0,14,12,80,6.67,1,1,1,1,0,0,26,37.5,41.5,31.5,0,82,0,2024,5773,446,533,2166
Michael Carter,ARI,RB,25,3,1,0,0,0,0,0,35,131,3.74,1,11,11,57,5.18,0,0,0,1,0,0,25,35.8,38.8,30.3,0,83,0,2024,6310,523,463,2451
D'Ernest Johnson,JAX,RB,28,14,1,0,0,0,0,0,32,143,4.47,0,19,12,96,8.0,0,0,0,0,0,0,24,35.9,38.9,29.9,0,85,0,2024,5446,517,414,1729
Kendre Miller,NO,RB,22,6,2,0,0,0,0,0,39,148,3.79,1,8,5,33,6.6,0,0,0,1,0,0,24,29.1,32.1,26.6,0,84,0,2024,5669,482,442,1939
Jaylen Wright,MIA,RB,21,15,1,0,0,0,0,0,68,249,3.66,0,6,3,8,2.67,0,1,1,0,0,0,24,26.7,30.7,25.2,0,86,0,2024,5668,568,445,1785
Zamir White,LV,RB,25,8,5,0,0,0,0,0,65,183,2.82,1,8,6,30,5.0,0,2,2,1,0,0,23,29.3,34.3,26.3,0,87,0,2024,5428,562,375,1345
Ty Chandler,MIN,RB,26,17,0,0,0,0,0,0,56,182,3.25,0,6,6,42,7.0,0,0,0,0,0,0,22,28.4,31.4,25.4,0,88,0,2024,5937,506,393,1558
Khalil Herbert,2TM,RB,26,14,1,0,0,0,0,0,36,130,3.61,1,11,10,25,2.5,0,1,0,1,0,0,22,31.5,34.5,26.5,0,89,0,2024,892,527,156,616
Sincere McCormick,LV,RB,24,5,2,0,0,0,0,0,39,183,4.69,0,7,6,29,4.83,0,0,0,0,0,0,21,27.2,30.2,24.2,0,90,0,2024,5428,562,375,1345
Pierre Strong,CLE,RB,26,14,0,0,0,0,0,0,26,108,4.15,0,22,14,104,7.43,0,0,0,0,0,0,21,35.2,41.2,28.2,0,91,0,2024,5487,579,391,1608
Jamycal Hasty,NE,RB,28,15,0,0,0,0,0,0,20,69,3.45,0,12,10,59,5.9,1,0,0,1,0,0,19,28.8,28.8,23.8,0,94,0,2024,5305,480,444,1962
Kenny McIntosh,SEA,RB,24,17,0,0,0,0,0,0,31,172,5.55,0,4,3,22,7.33,0,0,0,0,0,0,19,22.4,25.4,20.9,0,92,0,2024,6003,564,381,1624
DeeJay Dallas,ARI,RB,26,17,0,0,0,0,0,0,9,49,5.44,0,3,3,11,3.67,1,1,0,2,0,0,18,21.0,21.0,19.5,0,95,0,2024,6310,523,463,2451
Craig Reynolds,DET,RB,28,17,0,0,0,0,0,0,31,139,4.48,0,5,3,40,13.33,0,1,0,0,0,0,18,20.9,23.9,19.4,0,96,0,2024,7188,517,533,2487
Carson Steele,KC,RB,22,17,3,0,0,0,0,0,56,183,3.27,0,11,7,26,3.71,0,3,2,0,0,0,17,23.9,28.9,20.4,0,97,0,2024,5835,511,449,1789
Hunter Luepke,DAL,RB,24,16,4,0,0,0,0,0,12,38,3.17,0,16,12,111,9.25,0,0,0,0,0,0,15,26.9,29.9,20.9,0,99,0,2024,5793,603,429,1705
Jordan Mims,NO,RB,25,11,0,0,0,0,0,0,20,70,3.5,0,18,12,71,5.92,0,0,0,0,0,0,14,26.1,26.1,20.1,0,101,0,2024,5669,482,442,1939
Ronnie Rivers,LAR,RB,25,17,0,0,0,0,0,0,22,99,4.5,0,6,5,34,6.8,0,0,0,0,0,0,13,18.3,18.3,15.8,0,102,0,2024,5861,541,450,1765
Tony Jones,ARI,RB,27,1,0,0,0,0,0,0,4,55,13.75,1,0,0,0,0.0,0,0,0,1,0,0,12,11.5,11.5,11.5,0,104,0,2024,6310,523,463,2451
Will Shipley,PHI,RB,22,16,1,0,0,0,0,0,30,82,2.73,0,4,4,35,8.75,0,0,0,0,0,0,12,15.7,15.7,13.7,0,103,0,2024,6565,414,621,3048
Julius Chestnut,TEN,RB,24,17,0,0,0,0,0,0,22,102,4.64,0,3,2,11,5.5,0,0,0,0,0,0,11,13.3,16.3,12.3,0,105,0,2024,5476,485,450,1855
Deuce Vaughn,DAL,RB,23,7,0,0,0,0,0,0,17,70,4.12,0,5,3,18,6.0,0,0,0,0,0,0,9,11.8,11.8,10.3,0,106,0,2024,5793,603,429,1705
Raheem Blackshear,CAR,RB,25,16,1,0,0,0,0,0,15,80,5.33,0,0,0,0,0.0,0,2,0,0,0,0,8,8.0,8.0,8.0,0,108,0,2024,5278,433,405,1867
Jeff Wilson,MIA,RB,29,9,0,0,0,0,0,0,16,57,3.56,0,3,3,19,6.33,0,0,0,0,0,0,8,10.6,10.6,9.1,0,109,0,2024,5668,568,445,1785
Clyde Edwards-Helaire,NO,RB,25,2,0,0,0,0,0,0,13,46,3.54,0,5,3,24,8.0,0,0,0,0,0,0,7,10.0,10.0,8.5,0,111,0,2024,5669,482,442,1939
Eric Gray,NYG,RB,25,17,0,0,0,0,0,0,14,31,2.21,0,11,10,82,8.2,0,3,2,0,0,0,7,17.3,19.3,12.3,0,110,0,2024,5172,554,422,1774
Tyler Badie,DEN,RB,24,3,0,0,0,0,0,0,11,86,7.82,0,3,3,-2,-0.67,0,1,1,0,0,0,6,9.4,10.4,7.9,0,112,0,2024,5713,518,461,1908
Keaton Mitchell,BAL,RB,22,5,0,0,0,0,0,0,15,30,2.0,0,1,1,28,28.0,0,0,0,0,0,0,6,6.8,6.8,6.3,0,114,0,2024,7378,452,554,3189
Kene Nwangwu,NYJ,RB,26,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,1,0,0,6,6.0,6.0,6.0,0,113,0,2024,5556,454,362,1540
Mike Boone,CAR,RB,29,6,0,0,0,0,0,0,13,51,3.92,0,3,1,-2,-2.0,0,0,0,0,0,0,5,5.9,5.9,5.4,0,116,0,2024,5278,433,405,1867
Jonathon Brooks,CAR,RB,21,3,1,0,0,0,0,0,9,22,2.44,0,3,3,23,7.67,0,0,0,0,0,0,5,7.5,7.5,6.0,0,117,0,2024,5278,433,405,1867
Sione Vaki,DET,RB,23,16,0,0,0,0,0,0,6,14,2.33,0,3,3,37,12.33,0,0,0,0,0,0,5,8.1,8.1,6.6,0,115,0,2024,7188,517,533,2487
Jacob Kibodi,CLE,RB,26,1,0,0,0,0,0,0,5,24,4.8,0,3,1,15,15.0,0,0,0,0,0,0,4,4.9,4.9,4.4,0,119,0,2024,5487,579,391,1608
J.J. Taylor,HOU,RB,26,5,0,0,0,0,0,0,10,44,4.4,0,3,2,0,0.0,0,0,0,0,0,0,4,6.4,6.4,5.4,0,118,0,2024,5714,535,393,1762
Rasheen Ali,BAL,RB,23,6,0,0,0,0,0,0,10,31,3.1,0,2,0,0,0.0,0,0,0,0,0,0,3,3.1,3.1,3.1,0,124,0,2024,7378,452,554,3189
Dalvin Cook,DAL,RB,29,2,0,0,0,0,0,0,8,20,2.5,0,1,1,10,10.0,0,0,0,0,0,0,3,4.0,4.0,3.5,0,125,0,2024,5793,603,429,1705
Travis Homer,CHI,RB,26,10,0,0,0,0,0,0,6,23,3.83,0,3,3,11,3.67,0,0,0,0,0,0,3,6.4,6.4,4.9,0,120,0,2024,5259,524,421,1707
Jermar Jefferson,DET,RB,24,2,0,0,0,0,0,0,6,22,3.67,0,1,1,10,10.0,0,0,0,0,0,0,3,4.2,4.2,3.7,0,122,0,2024,7188,517,533,2487
