Tm,Tgt_20,Rec_20,Ctch%_20,Yds_20,TD_20,%Tgt_20,Tgt_10,Rec_10,Ctch%_10,Yds_10,TD_10,%Tgt_10,Highlights,Player,Year
DAL,12,6,50.00%,52,4,17.90%,7,3,42.86%,19,2,20.00%,All Michael Gallup red zone receiving plays,Michael Gallup,2022
MIA,12,8,66.67%,63,5,19.40%,7,4,57.14%,19,3,22.60%,All Mike Gesicki red zone receiving plays,Mike Gesicki,2022
DAL,12,8,66.67%,52,4,17.90%,6,4,66.67%,17,3,17.10%,All CeeDee Lamb red zone receiving plays,CeeDee Lamb,2022
PHI,12,7,58.33%,64,5,25.50%,4,3,75.00%,18,3,20.00%,All DeVonta Smith red zone receiving plays,DeVonta Smith,2022
DEN,12,4,33.33%,30,1,24.50%,6,1,16.67%,5,1,22.20%,All Courtland Sutton red zone receiving plays,Courtland Sutton,2022
HOU,11,6,54.55%,55,3,16.70%,3,2,66.67%,7,1,12.00%,All Jordan Akins red zone receiving plays,Jordan Akins,2022
DAL,11,7,63.64%,48,3,16.40%,5,3,60.00%,14,2,14.30%,All Noah Brown red zone receiving plays,Noah Brown,2022
LVR,11,5,45.45%,34,2,15.90%,7,3,42.86%,17,2,21.20%,All Mack Hollins red zone receiving plays,Mack Hollins,2022
NOR,11,7,63.64%,73,5,18.00%,4,3,75.00%,13,2,19.00%,All Juwan Johnson red zone receiving plays,Juwan Johnson,2022
JAX,11,6,54.55%,66,3,14.50%,5,3,60.00%,26,2,15.60%,All Marvin Jones red zone receiving plays,Marvin Jones,2022
NOR,11,7,63.64%,41,1,18.00%,1,1,100.00%,5,0,4.80%,All Alvin Kamara red zone receiving plays,Alvin Kamara,2022
LAR,11,8,72.73%,56,4,16.70%,6,4,66.67%,15,3,15.40%,All Cooper Kupp red zone receiving plays,Cooper Kupp,2022
BAL,11,6,54.55%,36,2,15.70%,7,3,42.86%,22,2,24.10%,All Isaiah Likely red zone receiving plays,Isaiah Likely,2022
WAS,11,8,72.73%,69,3,20.40%,3,3,100.00%,14,1,10.70%,All Terry McLaurin red zone receiving plays,Terry McLaurin,2022
HOU,11,5,45.45%,33,2,16.70%,2,1,50.00%,4,0,8.00%,All Chris Moore red zone receiving plays,Chris Moore,2022
KAN,11,3,27.27%,29,2,10.30%,5,1,20.00%,4,1,7.80%,All Marquez Valdes-Scantling red zone receiving plays,Marquez Valdes-Scantling,2022
LVR,11,4,36.36%,28,1,15.90%,7,2,28.57%,9,1,21.20%,All Darren Waller red zone receiving plays,Darren Waller,2022
