Tm,Tgt_20,Rec_20,Ctch%_20,Yds_20,TD_20,%Tgt_20,Tgt_10,Rec_10,Ctch%_10,Yds_10,TD_10,%Tgt_10,Highlights,Player,Year
PIT,4,4,100.00%,23,0,7.10%,1,1,100.00%,3,0,3.40%,All Jaylen Warren red zone receiving plays,Jaylen Warren,2022
PHI,4,2,50.00%,1,0,8.50%,1,0,0.00%,0,0,5.00%,All Quez Watkins red zone receiving plays,Quez Watkins,2022
DET,4,4,100.00%,12,4,4.70%,4,4,100.00%,12,4,9.80%,All Shane Zylstra red zone receiving plays,Shane Zylstra,2022
LAR,3,2,66.67%,4,0,4.50%,3,2,0.6667,4,0,7.70%,All Cam Akers red zone receiving plays,Cam Akers,2022
2TM,3,1,33.33%,9,0,0.00%,1,0,0.00%,0,0,0.00%,All Robbie Chosen red zone receiving plays,Robbie Chosen,2022
NYG,3,2,66.67%,18,0,7.70%,1,1,100.00%,6,0,5.00%,All Gary Brightwell red zone receiving plays,Gary Brightwell,2022
LVR,3,0,0.00%,0,0,4.30%,1,0,0.00%,0,0,3.00%,All Keelan Cole red zone receiving plays,Keelan Cole,2022
MIA,3,2,66.67%,13,2,4.80%,2,1,50.00%,2,1,6.50%,All River Cracraft red zone receiving plays,River Cracraft,2022
ATL,3,2,66.67%,5,0,6.30%,2,1,50.00%,3,0,7.10%,All Bryan Edwards red zone receiving plays,Bryan Edwards,2022
DAL,3,3,100.00%,15,2,4.50%,2,2,100.00%,8,2,5.70%,All Jake Ferguson red zone receiving plays,Jake Ferguson,2022
PHI,3,1,33.33%,5,0,6.40%,3,1,33.33%,5,0,15.00%,All Kenneth Gainwell red zone receiving plays,Kenneth Gainwell,2022
MIA,3,1,33.33%,2,0,4.80%,0,0,0.00%,0,0,0.00%,All Myles Gaskin red zone receiving plays,Myles Gaskin,2022
BUF,3,3,100.00%,26,1,3.90%,0,0,0.00%,0,0,0.00%,All Reggie Gilliam red zone receiving plays,Reggie Gilliam,2022
IND,3,2,66.67%,3,0,4.80%,0,0,0.00%,0,0,0.00%,All Kylen Granson red zone receiving plays,Kylen Granson,2022
PIT,3,2,66.67%,26,1,5.40%,1,0,0.00%,0,0,3.40%,All Connor Heyward red zone receiving plays,Connor Heyward,2022
NOR,3,2,66.67%,8,1,4.90%,3,2,66.67%,8,1,14.30%,All Taysom Hill red zone receiving plays,Taysom Hill,2022
HOU,3,1,33.33%,16,1,4.50%,1,0,0.00%,0,0,4.00%,All O.J. Howard red zone receiving plays,O.J. Howard,2022
IND,3,3,100.00%,16,1,4.80%,1,1,100.00%,1,1,3.10%,All Deon Jackson red zone receiving plays,Deon Jackson,2022
SFO,3,2,66.67%,6,1,4.90%,2,2,100.00%,6,1,6.70%,All Jauan Jennings red zone receiving plays,Jauan Jennings,2022
NYG,3,0,0.00%,0,0,7.70%,3,0,0.00%,0,0,15.00%,All Marcus Johnson red zone receiving plays,Marcus Johnson,2022
WAS,3,3,100.00%,24,1,5.60%,1,1,100.00%,6,1,3.60%,All Dax Milne red zone receiving plays,Dax Milne,2022
CHI,3,3,100.00%,15,1,8.10%,1,1,100.00%,10,1,5.90%,All David Montgomery red zone receiving plays,David Montgomery,2022
MIN,3,2,66.67%,18,1,3.10%,2,1,50.00%,1,1,3.80%,All Johnny Mundt red zone receiving plays,Johnny Mundt,2022
ATL,3,1,33.33%,2,0,6.30%,2,0,0.00%,0,0,7.10%,All Cordarrelle Patterson red zone receiving plays,Cordarrelle Patterson,2022
2TM,3,2,66.67%,10,2,0.00%,2,2,1,10,2,0.00%,All James Robinson red zone receiving plays,James Robinson,2022
DEN,3,1,33.33%,7,0,6.10%,0,0,0.00%,0,0,0.00%,All Eric Saubert red zone receiving plays,Eric Saubert,2022
WAS,3,1,33.33%,12,0,5.60%,1,0,0.00%,0,0,3.60%,All Cam Sims red zone receiving plays,Cam Sims,2022
LAR,3,0,0.00%,0,0,4.50%,1,0,0.00%,0,0,2.60%,All Ben Skowronek red zone receiving plays,Ben Skowronek,2022
NYG,3,2,66.67%,16,0,7.70%,1,1,1,6,0,5.00%,All Darius Slayton red zone receiving plays,Darius Slayton,2022
MIA,3,2,66.67%,9,1,4.80%,1,1,1,4,1,3.20%,All Durham Smythe red zone receiving plays,Durham Smythe,2022
IND,3,2,66.67%,5,0,4.80%,1,1,100.00%,4,0,3.10%,All Jonathan Taylor red zone receiving plays,Jonathan Taylor,2022
CIN,3,0,0.00%,0,0,3.40%,1,0,0.00%,0,0,2.90%,All Mike Thomas red zone receiving plays,Mike Thomas,2022
NOR,3,3,100.00%,19,3,4.90%,3,3,1,19,3,14.30%,All Michael Thomas red zone receiving plays,Michael Thomas,2022
NOR,3,2,66.67%,19,0,4.90%,0,0,0.00%,0,0,0.00%,All Adam Trautman red zone receiving plays,Adam Trautman,2022
ATL,3,3,100.00%,11,0,6.30%,1,1,100.00%,7,0,3.60%,All Avery Williams red zone receiving plays,Avery Williams,2022
NWE,2,1,50.00%,13,0,4.30%,1,0,0,0,0,3.60%,All Nelson Agholor red zone receiving plays,Nelson Agholor,2022
JAX,2,1,50.00%,8,0,2.60%,0,0,0,0,0,0.00%,All Dan Arnold red zone receiving plays,Dan Arnold,2022
LAR,2,1,50.00%,3,0,3.00%,1,0,0.00%,0,0,2.60%,All Tutu Atwell red zone receiving plays,Tutu Atwell,2022
NYG,2,0,0.00%,0,0,5.10%,1,0,0.00%,0,0,5.00%,All Saquon Barkley red zone receiving plays,Saquon Barkley,2022
WAS,2,1,50.00%,16,1,3.70%,0,0,0.00%,0,0,0.00%,All John Bates red zone receiving plays,John Bates,2022
DEN,2,1,50.00%,2,0,4.10%,1,0,0.00%,0,0,3.70%,All Mike Boone red zone receiving plays,Mike Boone,2022
LAR,2,1,50.00%,3,0,3.00%,1,1,100.00%,3,0,2.60%,All Malcolm Brown red zone receiving plays,Malcolm Brown,2022
CLE,2,1,50.00%,5,0,0.029,0,0,0.00%,0,0,0,All Pharaoh Brown red zone receiving plays,Pharaoh Brown,2022
PHI,2,1,50.00%,-2,0,4.30%,0,0,0.00%,0,0,0.00%,All Grant Calcaterra red zone receiving plays,Grant Calcaterra,2022
DAL,2,2,100.00%,15,0,3.00%,0,0,0.00%,0,0,0.00%,All Malik Davis red zone receiving plays,Malik Davis,2022
BAL,2,1,50.00%,1,1,2.90%,2,1,50.00%,1,1,6.90%,All J.K. Dobbins red zone receiving plays,J.K. Dobbins,2022
HOU,2,0,0.00%,0,0,3.00%,1,0,0,0,0,4.00%,All Phillip Dorsett red zone receiving plays,Phillip Dorsett,2022
DEN,2,1,50.00%,11,1,4.10%,1,0,0,0,0,3.70%,All Greg Dulcich red zone receiving plays,Greg Dulcich,2022
SEA,2,1,50.00%,3,0,3.00%,1,0,0.00%,0,0,3.70%,All D'Wayne Eskridge red zone receiving plays,D'Wayne Eskridge,2022
PIT,2,1,50.00%,2,0,3.60%,2,1,0.5,2,0,6.90%,All Zach Gentry red zone receiving plays,Zach Gentry,2022
DEN,2,2,100.00%,14,0,4.10%,1,1,100.00%,8,0,3.70%,All Melvin Gordon red zone receiving plays,Melvin Gordon,2022
CHI,2,1,50.00%,2,0,5.40%,1,0,0.00%,0,0,5.90%,All Ryan Griffin red zone receiving plays,Ryan Griffin,2022
MIN,2,2,100.00%,7,0,2.00%,2,2,100.00%,7,0,3.80%,All C.J. Ham red zone receiving plays,C.J. Ham,2022
LAR,2,1,50.00%,7,0,3.00%,0,0,0.00%,0,0,0.00%,All Darrell Henderson red zone receiving plays,Darrell Henderson,2022
ATL,2,1,50.00%,5,0,4.20%,0,0,0,0,0,0.00%,All Parker Hesse red zone receiving plays,Parker Hesse,2022
LAC,2,2,100.00%,2,2,2.10%,2,2,100.00%,2,2,4.30%,All Zander Horvath red zone receiving plays,Zander Horvath,2022
MIA,2,2,100.00%,15,1,3.20%,0,0,0.00%,0,0,0.00%,All Alec Ingold red zone receiving plays,Alec Ingold,2022
BAL,2,0,0.00%,0,0,2.90%,0,0,0.00%,0,0,0.00%,All DeSean Jackson red zone receiving plays,DeSean Jackson,2022
DEN,2,1,50.00%,1,1,0.041,2,1,50.00%,1,1,0.074,All Brandon Johnson red zone receiving plays,Brandon Johnson,2022
CHI,2,1,50.00%,9,1,5.40%,1,1,100.00%,9,1,5.90%,All Velus Jones red zone receiving plays,Velus Jones,2022
HOU,2,0,0.00%,0,0,3.00%,0,0,0.00%,0,0,0.00%,All Brevin Jordan red zone receiving plays,Brevin Jordan,2022
SFO,2,2,100.00%,3,1,3.30%,2,2,1,3,1,6.70%,All Kyle Juszczyk red zone receiving plays,Kyle Juszczyk,2022
NYJ,2,2,100.00%,9,0,3.20%,0,0,0,0,0,0.00%,All Zonovan Knight red zone receiving plays,Zonovan Knight,2022
GNB,2,2,100.00%,3,2,2.70%,2,2,1,3,2,6.30%,All Marcedes Lewis red zone receiving plays,Marcedes Lewis,2022
BUF,2,2,100.00%,14,1,2.60%,1,1,100.00%,0,0,2.90%,All Quintin Morris red zone receiving plays,Quintin Morris,2022
NYG,2,2,100.00%,5,1,5.10%,1,1,100.00%,1,1,5.00%,All Chris Myarick red zone receiving plays,Chris Myarick,2022
HOU,2,0,0.00%,0,0,3.00%,1,0,0.00%,0,0,4.00%,All Dare Ogunbowale red zone receiving plays,Dare Ogunbowale,2022
LAC,2,1,50.00%,3,1,2.10%,2,1,50.00%,3,1,4.30%,All Donald Parham red zone receiving plays,Donald Parham,2022
HOU,2,2,100.00%,5,1,3.00%,1,1,100.00%,3,1,4.00%,All Dameon Pierce red zone receiving plays,Dameon Pierce,2022
BAL,2,1,50.00%,6,0,2.90%,1,1,1,6,0,3.40%,All James Proche red zone receiving plays,James Proche,2022
NYG,2,1,50.00%,5,1,5.10%,1,1,100.00%,5,1,5.00%,All Wan'Dale Robinson red zone receiving plays,Wan'Dale Robinson,2022
LAC,2,0,0.00%,0,0,2.10%,2,0,0.00%,0,0,4.30%,All Richard Rodgers red zone receiving plays,Richard Rodgers,2022
TAM,2,1,50.00%,8,1,2.10%,1,1,100.00%,8,1,2.00%,All Kyle Rudolph red zone receiving plays,Kyle Rudolph,2022
CAR,2,2,100.00%,11,0,5.30%,0,0,0.00%,0,0,0.00%,All Laviska Shenault red zone receiving plays,Laviska Shenault,2022
NYG,2,2,100.00%,18,0,5.10%,1,1,100.00%,5,0,5.00%,All David Sills red zone receiving plays,David Sills,2022
NOR,2,1,50.00%,18,1,3.30%,1,0,0.00%,0,0,4.80%,All Tre'Quan Smith red zone receiving plays,Tre'Quan Smith,2022
CHI,2,1,50.00%,18,1,5.40%,0,0,0.00%,0,0,0.00%,All Equanimeous St. Brown red zone receiving plays,Equanimeous St. Brown,2022
CAR,2,2,100.00%,9,0,5.30%,0,0,0.00%,0,0,0.00%,All Ian Thomas red zone receiving plays,Ian Thomas,2022
SEA,2,2,100.00%,6,0,3.00%,0,0,0.00%,0,0,0.00%,All Laquon Treadwell red zone receiving plays,Laquon Treadwell,2022
KAN,2,1,50.00%,4,1,1.90%,2,1,50.00%,4,1,3.10%,All Justin Watson red zone receiving plays,Justin Watson,2022
PIT,2,2,100.00%,2,1,3.60%,2,2,1,2,1,6.90%,All Derek Watt red zone receiving plays,Derek Watt,2022
CHI,2,1,50.00%,3,0,5.40%,1,1,100.00%,3,0,5.90%,All Trevon Wesco red zone receiving plays,Trevon Wesco,2022
IND,2,2,100.00%,6,0,3.20%,1,1,1,4,0,3.10%,All Jordan Wilkins red zone receiving plays,Jordan Wilkins,2022
DET,2,2,100.00%,5,0,2.30%,1,1,100.00%,3,0,2.40%,All Jamaal Williams red zone receiving plays,Jamaal Williams,2022
CLE,2,1,50.00%,4,0,2.90%,1,0,0.00%,0,0,3.30%,All Michael Woods red zone receiving plays,Michael Woods,2022
ARI,1,0,0.00%,0,0,1.60%,0,0,0,0,0,0.00%,All Andre Baccellia red zone receiving plays,Andre Baccellia,2022
GNB,1,0,0.00%,0,0,1.40%,1,0,0.00%,0,0,3.10%,All David Bakhtiari red zone receiving plays,David Bakhtiari,2022
LAC,1,1,100.00%,4,0,1.00%,0,0,0.00%,0,0,0.00%,All Michael Bandy red zone receiving plays,Michael Bandy,2022
BAL,1,1,100.00%,4,0,1.40%,1,1,1,4,0,3.40%,All Rashod Bateman red zone receiving plays,Rashod Bateman,2022
BUF,1,0,0.00%,0,0,1.30%,1,0,0,0,0,2.90%,All Cole Beasley red zone receiving plays,Cole Beasley,2022
KAN,1,1,100.00%,17,1,0.90%,0,0,0.00%,0,0,0.00%,All Blake Bell red zone receiving plays,Blake Bell,2022
CLE,1,1,100.00%,6,0,1.40%,0,0,0,0,0,0.00%,All David Bell red zone receiving plays,David Bell,2022
CAR,1,1,100.00%,0,0,2.60%,1,1,100.00%,0,0,5.90%,All Raheem Blackshear red zone receiving plays,Raheem Blackshear,2022
LVR,1,1,100.00%,18,1,1.40%,0,0,0.00%,0,0,0.00%,All Brandon Bolden red zone receiving plays,Brandon Bolden,2022
DET,1,0,0.00%,0,0,1.20%,0,0,0,0,0,0.00%,All Jason Cabinda red zone receiving plays,Jason Cabinda,2022
NYG,1,1,100.00%,9,1,2.60%,1,1,100.00%,9,1,5.00%,All Lawrence Cager red zone receiving plays,Lawrence Cager,2022
CLE,1,1,100.00%,2,1,1.40%,1,1,1,2,1,3.30%,All Nick Chubb red zone receiving plays,Nick Chubb,2022
DEN,1,0,0.00%,0,0,2.00%,0,0,0.00%,0,0,0.00%,All Tyrie Cleveland red zone receiving plays,Tyrie Cleveland,2022
SFO,1,1,100.00%,9,1,1.60%,1,1,100.00%,9,1,3.30%,All Tevin Coleman red zone receiving plays,Tevin Coleman,2022
SEA,1,1,100.00%,4,0,1.50%,1,1,1,4,0,3.70%,All DeeJay Dallas red zone receiving plays,DeeJay Dallas,2022
GNB,1,1,100.00%,9,0,1.40%,0,0,0,0,0,0.00%,All Josiah Deguara red zone receiving plays,Josiah Deguara,2022
MIN,1,1,100.00%,2,0,1.00%,0,0,0.00%,0,0,0.00%,All Ben Ellefson red zone receiving plays,Ben Ellefson,2022
DAL,1,1,100.00%,3,0,1.50%,1,1,1,3,0,2.90%,All Ezekiel Elliott red zone receiving plays,Ezekiel Elliott,2022
CIN,1,1,100.00%,8,1,1.10%,1,1,1,8,1,2.90%,All Chris Evans red zone receiving plays,Chris Evans,2022
ATL,1,0,0.00%,0,0,2.10%,1,0,0,0,0,3.60%,All Anthony Firkser red zone receiving plays,Anthony Firkser,2022
CAR,1,1,100.00%,-4,0,2.60%,0,0,0,0,0,0.00%,All D'Onta Foreman red zone receiving plays,D'Onta Foreman,2022
NYG,1,0,0.00%,0,0,2.60%,1,0,0.00%,0,0,5.00%,All Kenny Golladay red zone receiving plays,Kenny Golladay,2022
HOU,1,0,0.00%,0,0,1.50%,1,0,0,0,0,4.00%,All Troy Hairston red zone receiving plays,Troy Hairston,2022
CHI,1,1,100.00%,17,1,2.70%,0,0,0.00%,0,0,0.00%,All N'Keal Harry red zone receiving plays,N'Keal Harry,2022
JAX,1,1,100.00%,9,0,1.30%,1,1,100.00%,9,0,3.10%,All Jamycal Hasty red zone receiving plays,Jamycal Hasty,2022
DAL,1,1,100.00%,2,1,1.50%,1,1,1,2,1,2.90%,All Peyton Hendershot red zone receiving plays,Peyton Hendershot,2022
LAC,1,1,100.00%,-2,0,1.00%,1,1,100.00%,-2,0,2.20%,All Justin Herbert red zone receiving plays,Justin Herbert,2022
CHI,1,1,100.00%,-2,0,2.70%,0,0,0,0,0,0.00%,All Khalil Herbert red zone receiving plays,Khalil Herbert,2022
TEN,1,1,100.00%,5,0,1.80%,1,1,100.00%,5,0,4.20%,All Cody Hollister red zone receiving plays,Cody Hollister,2022
SEA,1,1,100.00%,18,1,1.50%,0,0,0.00%,0,0,0.00%,All Travis Homer red zone receiving plays,Travis Homer,2022
LAR,1,1,100.00%,11,0,1.50%,0,0,0.00%,0,0,0.00%,All Brycen Hopkins red zone receiving plays,Brycen Hopkins,2022
ARI,1,1,100.00%,-1,0,1.60%,0,0,0,0,0,0.00%,All Keaontay Ingram red zone receiving plays,Keaontay Ingram,2022
NOR,1,1,100.00%,5,0,1.60%,0,0,0,0,0,0.00%,All Tony Jones red zone receiving plays,Tony Jones,2022
LAC,1,1,100.00%,8,0,1.00%,0,0,0.00%,0,0,0.00%,All Joshua Kelley red zone receiving plays,Joshua Kelley,2022
DET,1,0,0.00%,0,0,1.20%,1,0,0.00%,0,0,2.40%,All Tom Kennedy red zone receiving plays,Tom Kennedy,2022
TAM,1,1,100.00%,5,1,1.00%,1,1,1,5,1,2.00%,All Ko Kieft red zone receiving plays,Ko Kieft,2022
BAL,1,0,0.00%,0,0,1.40%,1,0,0.00%,0,0,3.40%,All Charlie Kolar red zone receiving plays,Charlie Kolar,2022
SEA,1,1,100.00%,7,1,1.50%,1,1,1,7,1,3.70%,All Tyler Mabry red zone receiving plays,Tyler Mabry,2022
JAX,1,1,100.00%,3,0,1.30%,0,0,0,0,0,0.00%,All Chris Manhertz red zone receiving plays,Chris Manhertz,2022
ARI,1,1,100.00%,4,1,1.60%,1,1,1,4,1,3.60%,All Trey McBride red zone receiving plays,Trey McBride,2022
SFO,1,1,100.00%,8,1,1.60%,1,1,1,8,1,3.30%,All Ray-Ray McCloud red zone receiving plays,Ray-Ray McCloud,2022
LAR,1,0,0.00%,0,0,1.50%,0,0,0,0,0,0.00%,All Lance McCutcheon red zone receiving plays,Lance McCutcheon,2022
NYJ,1,1,100.00%,12,0,1.60%,0,0,0.00%,0,0,0.00%,All Denzel Mims red zone receiving plays,Denzel Mims,2022
SFO,1,1,100.00%,-1,0,1.60%,1,1,1,-1,0,3.30%,All Elijah Mitchell red zone receiving plays,Elijah Mitchell,2022
DET,1,1,100.00%,3,1,1.20%,1,1,1,3,1,2.40%,All James Mitchell red zone receiving plays,James Mitchell,2022
NWE,1,1,100.00%,6,1,2.20%,1,1,100.00%,6,1,3.60%,All Ty Montgomery red zone receiving plays,Ty Montgomery,2022
KAN,1,1,100.00%,2,0,0.90%,1,1,1,2,0,1.60%,All Skyy Moore red zone receiving plays,Skyy Moore,2022
CIN,1,0,0.00%,0,0,1.10%,1,0,0.00%,0,0,2.90%,All Stanley Morgan red zone receiving plays,Stanley Morgan,2022
MIN,1,1,100.00%,5,0,1.00%,0,0,0.00%,0,0,0.00%,All Jalen Nailor red zone receiving plays,Jalen Nailor,2022
DEN,1,1,100.00%,3,0,2.00%,1,1,1,3,0,3.70%,All Albert Okwuegbunam red zone receiving plays,Albert Okwuegbunam,2022
PIT,1,1,100.00%,8,0,1.80%,1,1,1,8,0,3.40%,All Gunner Olszewski red zone receiving plays,Gunner Olszewski,2022
KAN,1,1,100.00%,9,0,0.90%,0,0,0,0,0,0.00%,All Isiah Pacheco red zone receiving plays,Isiah Pacheco,2022
PHI,1,1,100.00%,1,0,2.10%,0,0,0.00%,0,0,0.00%,All Zach Pascal red zone receiving plays,Zach Pascal,2022
IND,1,0,0.00%,0,0,1.60%,1,0,0,0,0,3.10%,All Dezmon Patmon red zone receiving plays,Dezmon Patmon,2022
SEA,1,1,100.00%,4,0,1.50%,0,0,0.00%,0,0,0.00%,All Rashaad Penny red zone receiving plays,Rashaad Penny,2022
CHI,1,1,100.00%,4,1,2.70%,1,1,100.00%,4,1,5.90%,All Byron Pringle red zone receiving plays,Byron Pringle,2022
MIN,1,1,100.00%,1,1,1.00%,1,1,1,1,1,1.90%,All Jalen Reagor red zone receiving plays,Jalen Reagor,2022
BAL,1,1,100.00%,12,0,1.40%,0,0,0.00%,0,0,0.00%,All Patrick Ricard red zone receiving plays,Patrick Ricard,2022
LAR,1,1,100.00%,14,0,1.50%,0,0,0,0,0,0.00%,All Ronnie Rivers red zone receiving plays,Ronnie Rivers,2022
WAS,1,1,100.00%,14,1,1.90%,0,0,0.00%,0,0,0.00%,All Brian Robinson red zone receiving plays,Brian Robinson,2022
GNB,1,0,0.00%,0,0,1.40%,0,0,0,0,0,0.00%,All Amari Rodgers red zone receiving plays,Amari Rodgers,2022
CIN,1,1,100.00%,2,0,1.10%,0,0,0.00%,0,0,0.00%,All Drew Sample red zone receiving plays,Drew Sample,2022
NOR,1,1,100.00%,8,0,1.60%,0,0,0,0,0,0.00%,All Rashid Shaheed red zone receiving plays,Rashid Shaheed,2022
NYG,1,0,0.00%,0,0,2.60%,0,0,0.00%,0,0,0.00%,All Sterling Shepard red zone receiving plays,Sterling Shepard,2022
PIT,1,0,0.00%,0,0,1.80%,0,0,0.00%,0,0,0.00%,All Steven Sims red zone receiving plays,Steven Sims,2022
CHI,1,0,0.00%,0,0,2.70%,1,0,0,0,0,5.90%,All Ihmir Smith-Marsette red zone receiving plays,Ihmir Smith-Marsette,2022
NYJ,1,0,0.00%,0,0,1.60%,0,0,0,0,0,0.00%,All Jeff Smith red zone receiving plays,Jeff Smith,2022
ATL,1,0,0.00%,0,0,2.10%,1,0,0.00%,0,0,3.60%,All Keith Smith red zone receiving plays,Keith Smith,2022
PHI,1,0,0.00%,0,0,2.10%,1,0,0,0,0,5.00%,All Jack Stoll red zone receiving plays,Jack Stoll,2022
DAL,1,1,100.00%,4,0,1.50%,0,0,0.00%,0,0,0.00%,All Jalen Tolbert red zone receiving plays,Jalen Tolbert,2022
GNB,1,1,100.00%,2,0,1.40%,0,0,0,0,0,0.00%,All Samori Toure red zone receiving plays,Samori Toure,2022
WAS,1,0,0.00%,0,0,1.90%,1,0,0.00%,0,0,3.60%,All Cole Turner red zone receiving plays,Cole Turner,2022
LVR,1,0,0.00%,0,0,1.40%,0,0,0,0,0,0.00%,All DJ Turner red zone receiving plays,DJ Turner,2022
NYJ,1,1,100.00%,1,1,1.60%,1,1,100.00%,1,1,3.60%,All C.J. Uzomah red zone receiving plays,C.J. Uzomah,2022
NYG,1,1,100.00%,12,0,2.60%,0,0,0,0,0,0.00%,All Nick Vannett red zone receiving plays,Nick Vannett,2022
SEA,1,1,100.00%,4,0,1.50%,0,0,0,0,0,0.00%,All Kenneth Walker red zone receiving plays,Kenneth Walker,2022
TEN,1,1,100.00%,4,0,1.80%,0,0,0,0,0,0.00%,All Jonathan Ward red zone receiving plays,Jonathan Ward,2022
CIN,1,1,100.00%,12,1,1.10%,0,0,0,0,0,0.00%,All Mitchell Wilcox red zone receiving plays,Mitchell Wilcox,2022
ARI,1,0,0.00%,0,0,1.60%,1,0,0.00%,0,0,3.60%,All Darrel Williams red zone receiving plays,Darrel Williams,2022
LAR,1,0,0.00%,0,0,1.50%,0,0,0.00%,0,0,0.00%,All Kyren Williams red zone receiving plays,Kyren Williams,2022
NYJ,1,1,100.00%,2,1,1.60%,1,1,1,2,1,3.60%,All Zach Wilson red zone receiving plays,Zach Wilson,2022
DAL,31,17,54.84%,131,8,29.80%,17,8,47.06%,31,4,33.30%,All CeeDee Lamb red zone receiving plays,CeeDee Lamb,2023
LVR,29,16,55.17%,74,6,40.80%,15,10,66.67%,38,5,42.90%,All Davante Adams red zone receiving plays,Davante Adams,2023
JAX,26,9,34.62%,60,5,41.30%,13,5,38.46%,20,4,43.30%,All Calvin Ridley red zone receiving plays,Calvin Ridley,2023
MIA,24,15,62.50%,54,4,35.80%,16,8,50.00%,17,4,36.40%,All Tyreek Hill red zone receiving plays,Tyreek Hill,2023
DAL,23,12,52.17%,94,5,22.10%,12,4,33.33%,12,3,23.50%,All Jake Ferguson red zone receiving plays,Jake Ferguson,2023
SEA,23,10,43.48%,79,6,35.40%,9,5,55.56%,28,5,37.50%,All D.K. Metcalf red zone receiving plays,D.K. Metcalf,2023
DET,23,16,69.57%,107,5,35.40%,12,7,58.33%,35,3,34.30%,All Amon-Ra St. Brown red zone receiving plays,Amon-Ra St. Brown,2023
KAN,22,16,72.73%,110,6,25.00%,11,8,72.73%,32,5,22.90%,All Rashee Rice red zone receiving plays,Rashee Rice,2023
CIN,19,12,63.16%,68,4,25.70%,10,5,50.00%,13,3,27.00%,All Ja'Marr Chase red zone receiving plays,Ja'Marr Chase,2023
KAN,19,13,68.42%,74,5,21.60%,10,6,60.00%,23,5,20.80%,All Travis Kelce red zone receiving plays,Travis Kelce,2023
IND,19,14,73.68%,102,2,32.20%,4,2,50.00%,14,2,16.00%,All Michael Pittman red zone receiving plays,Michael Pittman,2023
GNB,18,9,50.00%,66,7,20.00%,9,6,66.67%,34,6,24.30%,All Romeo Doubs red zone receiving plays,Romeo Doubs,2023
LAR,18,11,61.11%,68,4,24.70%,8,4,50.00%,11,3,19.50%,All Cooper Kupp red zone receiving plays,Cooper Kupp,2023
TEN,17,7,41.18%,55,4,36.20%,10,4,40.00%,19,3,43.50%,All DeAndre Hopkins red zone receiving plays,DeAndre Hopkins,2023
CLE,17,8,47.06%,41,3,26.60%,10,3,30.00%,7,2,34.50%,All David Njoku red zone receiving plays,David Njoku,2023
SFO,17,11,64.71%,92,3,24.30%,3,2,66.67%,11,1,11.50%,All Deebo Samuel red zone receiving plays,Deebo Samuel,2023
DEN,17,12,70.59%,101,8,26.20%,7,3,42.86%,18,3,20.00%,All Courtland Sutton red zone receiving plays,Courtland Sutton,2023
NYJ,17,9,52.94%,42,2,34.70%,11,5,45.45%,18,2,35.50%,All Garrett Wilson red zone receiving plays,Garrett Wilson,2023
TAM,16,5,31.25%,33,1,27.10%,11,2,18.18%,10,1,37.90%,All Chris Godwin red zone receiving plays,Chris Godwin,2023
ATL,16,10,62.50%,61,2,29.60%,8,4,50.00%,13,1,28.60%,All Drake London red zone receiving plays,Drake London,2023
SFO,16,12,75.00%,61,5,22.90%,8,6,75.00%,32,4,30.80%,All Christian McCaffrey red zone receiving plays,Christian McCaffrey,2023
LAR,16,9,56.25%,84,3,21.90%,8,4,50.00%,17,2,19.50%,All Puka Nacua red zone receiving plays,Puka Nacua,2023
MIN,15,7,46.67%,39,3,19.00%,9,4,44.44%,20,3,19.10%,All Jordan Addison red zone receiving plays,Jordan Addison,2023
PHI,15,9,60.00%,70,4,30.60%,7,3,42.86%,8,2,41.20%,All A.J. Brown red zone receiving plays,A.J. Brown,2023
HOU,15,9,60.00%,62,6,22.10%,9,5,55.56%,19,4,25.00%,All Nico Collins red zone receiving plays,Nico Collins,2023
BUF,15,10,66.67%,90,6,24.20%,5,2,40.00%,7,1,18.50%,All Stefon Diggs red zone receiving plays,Stefon Diggs,2023
CHI,15,11,73.33%,67,5,26.80%,6,5,83.33%,25,4,23.10%,All Cole Kmet red zone receiving plays,Cole Kmet,2023
DET,15,11,73.33%,93,8,23.10%,10,7,70.00%,34,5,28.60%,All Sam LaPorta red zone receiving plays,Sam LaPorta,2023
LVR,15,11,73.33%,89,6,21.10%,9,6,66.67%,39,4,25.70%,All Jakobi Meyers red zone receiving plays,Jakobi Meyers,2023
WAS,15,7,46.67%,58,4,23.40%,7,3,42.86%,13,3,20.00%,All Curtis Samuel red zone receiving plays,Curtis Samuel,2023
BAL,14,10,71.43%,77,6,21.90%,7,5,71.43%,22,4,22.60%,All Mark Andrews red zone receiving plays,Mark Andrews,2023
TAM,14,5,35.71%,25,5,23.70%,8,4,50.00%,6,4,27.60%,All Mike Evans red zone receiving plays,Mike Evans,2023
GNB,14,9,64.29%,80,5,15.60%,8,4,50.00%,33,4,21.60%,All Jayden Reed red zone receiving plays,Jayden Reed,2023
CAR,14,8,57.14%,57,4,38.90%,9,5,55.56%,27,3,40.90%,All Adam Thielen red zone receiving plays,Adam Thielen,2023
CLE,13,5,38.46%,43,2,20.30%,5,2,40.00%,13,1,17.20%,All Amari Cooper red zone receiving plays,Amari Cooper,2023
BAL,13,10,76.92%,30,3,20.30%,6,6,100.00%,25,3,19.40%,All Zay Flowers red zone receiving plays,Zay Flowers,2023
CIN,13,11,84.62%,65,3,17.60%,6,5,83.33%,27,3,16.20%,All Joe Mixon red zone receiving plays,Joe Mixon,2023
